date,rate
2018/1/11,1.77
2018/1/12,1.78
2018/1/13,1.78
2018/1/14,1.78
2018/1/15,1.78
2018/1/16,1.79
2018/1/17,1.79
2018/1/18,1.79
2018/1/19,1.79
2018/1/20,1.79
2018/1/21,1.79
2018/1/22,1.79
2018/1/23,1.78
2018/1/24,1.79
2018/1/25,1.8
2018/1/26,1.8
2018/1/27,1.8
2018/1/28,1.8
2018/1/29,1.8
2018/1/30,1.88
2018/1/31,1.9
2018/2/1,1.89
2018/2/2,1.88
2018/2/3,1.88
2018/2/4,1.88
2018/2/5,1.85
2018/2/6,1.87
2018/2/7,1.91
2018/2/8,1.91
2018/2/9,1.89
2018/2/10,1.89
2018/2/11,1.89
2018/2/12,1.93
2018/2/13,1.95
2018/2/14,1.98
2018/2/15,1.99
2018/2/16,2
2018/2/17,2
2018/2/18,2
2018/2/19,2
2018/2/20,2.01
2018/2/21,2.03
2018/2/22,2.02
2018/2/23,2.02
2018/2/24,2.02
2018/2/25,2.02
2018/2/26,2.03
2018/2/27,2.08
2018/2/28,2.07
2018/3/1,2.05
2018/3/2,2.06
2018/3/3,2.06
2018/3/4,2.06
2018/3/5,2.06
2018/3/6,2.06
2018/3/7,2.05
2018/3/8,2.05
2018/3/9,2.03
2018/3/10,2.03
2018/3/11,2.03
2018/3/12,2.05
2018/3/13,2.03
2018/3/14,2.05
2018/3/15,2.07
2018/3/16,2.08
2018/3/17,2.08
2018/3/18,2.08
2018/3/19,2.08
2018/3/20,2.08
2018/3/21,2.06
2018/3/22,2.05
2018/3/23,2.04
2018/3/24,2.04
2018/3/25,2.04
2018/3/26,2.06
2018/3/27,2.1
2018/3/28,2.12
2018/3/29,2.09
2018/3/30,2.09
2018/3/31,2.09
2018/4/1,2.09
2018/4/2,2.08
2018/4/3,2.09
2018/4/4,2.07
2018/4/5,2.07
2018/4/6,2.06
2018/4/7,2.06
2018/4/8,2.06
2018/4/9,2.08
2018/4/10,2.09
2018/4/11,2.09
2018/4/12,2.11
2018/4/13,2.12
2018/4/14,2.12
2018/4/15,2.12
2018/4/16,2.12
2018/4/17,2.16
2018/4/18,2.17
2018/4/19,2.21
2018/4/20,2.22
2018/4/21,2.22
2018/4/22,2.22
2018/4/23,2.25
2018/4/24,2.25
2018/4/25,2.26
2018/4/26,2.25
2018/4/27,2.24
2018/4/28,2.24
2018/4/29,2.24
2018/4/30,2.24
2018/5/1,2.26
2018/5/2,2.24
2018/5/3,2.24
2018/5/4,2.24
2018/5/5,2.24
2018/5/6,2.24
2018/5/7,2.25
2018/5/8,2.26
2018/5/9,2.27
2018/5/10,2.27
2018/5/11,2.28
2018/5/12,2.28
2018/5/13,2.28
2018/5/14,2.28
2018/5/15,2.31
2018/5/16,2.32
2018/5/17,2.32
2018/5/18,2.32
2018/5/19,2.32
2018/5/20,2.32
2018/5/21,2.35
2018/5/22,2.34
2018/5/23,2.29
2018/5/24,2.28
2018/5/25,2.27
2018/5/26,2.27
2018/5/27,2.27
2018/5/28,2.27
2018/5/29,2.17
2018/5/30,2.23
2018/5/31,2.23
2018/6/1,2.28
2018/6/2,2.28
2018/6/3,2.28
2018/6/4,2.3
2018/6/5,2.32
2018/6/6,2.32
2018/6/7,2.31
2018/6/8,2.3
2018/6/9,2.3
2018/6/10,2.3
2018/6/11,2.32
2018/6/12,2.31
2018/6/13,2.35
2018/6/14,2.35
2018/6/15,2.35
2018/6/16,2.35
2018/6/17,2.35
2018/6/18,2.35
2018/6/19,2.34
2018/6/20,2.36
2018/6/21,2.34
2018/6/22,2.33
2018/6/23,2.33
2018/6/24,2.33
2018/6/25,2.34
2018/6/26,2.33
2018/6/27,2.33
2018/6/28,2.33
2018/6/29,2.33
2018/6/30,2.33
2018/7/1,2.33
2018/7/2,2.34
2018/7/3,2.33
2018/7/4,2.33
2018/7/5,2.32
2018/7/6,2.34
2018/7/7,2.34
2018/7/8,2.34
2018/7/9,2.34
2018/7/10,2.36
2018/7/11,2.36
2018/7/12,2.39
2018/7/13,2.37
2018/7/14,2.37
2018/7/15,2.37
2018/7/16,2.39
2018/7/17,2.39
2018/7/18,2.43
2018/7/19,2.4
2018/7/20,2.41
2018/7/21,2.41
2018/7/22,2.41
2018/7/23,2.42
2018/7/24,2.42
2018/7/25,2.42
2018/7/26,2.41
2018/7/27,2.43
2018/7/28,2.43
2018/7/29,2.43
2018/7/30,2.43
2018/7/31,2.44
2018/8/1,2.45
2018/8/2,2.45
2018/8/3,2.43
2018/8/4,2.43
2018/8/5,2.43
2018/8/6,2.44
2018/8/7,2.45
2018/8/8,2.44
2018/8/9,2.44
2018/8/10,2.42
2018/8/11,2.42
2018/8/12,2.42
2018/8/13,2.42
2018/8/14,2.44
2018/8/15,2.45
2018/8/16,2.45
2018/8/17,2.44
2018/8/18,2.44
2018/8/19,2.44
2018/8/20,2.43
2018/8/21,2.45
2018/8/22,2.43
2018/8/23,2.43
2018/8/24,2.44
2018/8/25,2.44
2018/8/26,2.44
2018/8/27,2.47
2018/8/28,2.47
2018/8/29,2.48
2018/8/30,2.47
2018/8/31,2.46
2018/9/1,2.46
2018/9/2,2.46
2018/9/3,2.46
2018/9/4,2.49
2018/9/5,2.49
2018/9/6,2.5
2018/9/7,2.53
2018/9/8,2.53
2018/9/9,2.53
2018/9/10,2.54
2018/9/11,2.55
2018/9/12,2.56
2018/9/13,2.55
2018/9/14,2.56
2018/9/15,2.56
2018/9/16,2.56
2018/9/17,2.57
2018/9/18,2.58
2018/9/19,2.58
2018/9/20,2.58
2018/9/21,2.58
2018/9/22,2.58
2018/9/23,2.58
2018/9/24,2.6
2018/9/25,2.59
2018/9/26,2.58
2018/9/27,2.58
2018/9/28,2.59
2018/9/29,2.59
2018/9/30,2.59
2018/10/1,2.6
2018/10/2,2.61
2018/10/3,2.62
2018/10/4,2.63
2018/10/5,2.64
2018/10/6,2.64
2018/10/7,2.64
2018/10/8,2.64
2018/10/9,2.65
2018/10/10,2.67
2018/10/11,2.66
2018/10/12,2.66
2018/10/13,2.66
2018/10/14,2.66
2018/10/15,2.67
2018/10/16,2.66
